DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
02/07/2024,1005 - 100 DALHOUSIE STREET,TORONTO,ONTARIO,M5B0C7,RUBINA DHAMI,HARLOWE REALTY CORPORATION,"$475,000",43.6564615,79.3767046
02/07/2024,1005 - 188 FAIRVIEW MALL DRIVE S,TORONTO,ONTARIO,M2J4T1,DAVINA DEN TSENG,CENTURY 21 KENNECT REALTY,"$428,000",43.7802735,79.3413265
03/07/2024,1005 - 200 SACKVILLE STREET,TORONTO,ONTARIO,M5A0C4,HANI AZAM,IPRO REALTY LTD.,"$574,990",43.6590809,79.3629156
6/24/2024,1005 - 228 BONIS AVENUE,TORONTO,ONTARIO,M1T3W4,AUGUSTINE YUK YU LAU,LANDSTARS 360 REALTY INC.,"$688,800",43.7866791,79.2910311
25/06/2024,1005 - 25 NEIGHBOURHOOD LANE,TORONTO,ONTARIO,M8Y0C4,CASSANDRA PACITTO,ENGEL & VOLKERS TORONTO CITY,"$949,900",43.6381568,79.4892088
02/07/2024,1005 - 2737 KEELE STREET,TORONTO,ONTARIO,M3M2E9,OLIVIA ZHOU,RE/MAX WEST REALTY INC.,"$409,000",43.7257993,79.4806034
27/06/2024,1005 - 3391 BLOOR STREET,TORONTO,ONTARIO,M8X1G3,MANNY ANAGNOSTAKIS,WESTVIEW REALTY INC.,"$568,000",43.6442533,79.5238525
03/07/2024,1005 - 500 SHERBOURNE STREET,TORONTO,ONTARIO,M4X1L1,SUSAN GUCCI,ROYAL LEPAGE SIGNATURE SUSAN GUCCI REALTY,"$569,000",43.6679021,79.3756819
29/06/2024,1005 - 5180 YONGE STREET,TORONTO,ONTARIO,M2N0K5,SUNYOUNG PARK,SELLING TORONTO REAL ESTATE INC.,"$875,000",43.7704653,79.4138309
25/06/2024,1005 - 99 JOHN STREET,TORONTO,ONTARIO,M5V0S6,STANLEY WONG,HOMELIFE FRONTIER REALTY INC.,"$1,404,900",43.6475245,79.3899312
03/07/2024,1006 - 100 MORNELLE COURT,TORONTO,ONTARIO,M1E4X2,AMIR MIZRAHI,ROYAL LEPAGE YOUR COMMUNITY REALTY,"$599,900",43.7872772,79.1950138
03/07/2024,1006 - 25 TELEGRAM MEWS,TORONTO,ONTARIO,M5V3Z1,AMIT DHAWAN,CENTURY 21 ATRIA REALTY INC.,"$539,000",43.6411454,79.3942451
